08-23 22:03:32.487 13624 13624 W Looper  : Slow Looper main: Activity com.android.todolist/.MainActivity is 432ms late (wall=0ms running=0ms ClientTransaction{ callbacks=[android.app.servertransaction.TopResumedActivityChangeItem] }) because of 2 msg, msg 1 took 412ms (seq=2 running=279ms runnable=36ms io=62ms late=2ms h=android.app.ActivityThread$H w=110), msg 2 took 270ms (seq=3 running=215ms runnable=12ms io=15ms late=162ms h=android.app.ActivityThread$H w=159)
08-23 22:41:25.588  1610  2831 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:41:26.120  1610  1733 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{b5dc78e u0 com.android.todolist/.ListActivity t19235} time:284864069
08-23 22:41:27.442  1610  2831 W NotificationService: Toast already killed. pkg=com.android.todolist callback=android.app.ITransientNotification$Stub$Proxy@dda7f87
08-23 22:41:27.867  1610  2534 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:41:29.578  1610  4203 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:41:30.713  1610  2831 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:41:31.245  1610  1733 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{992fbc4 u0 com.android.todolist/.MainActivity t19235} time:284869195
08-23 22:44:31.871  1610  1729 V AppStateTracker: Package com.android.todolist/10010 toggled into fg service restriction
08-23 22:44:31.871  1610  1729 V AppStateTracker: Package com.android.todolist/10010 toggled into fg service restriction
08-23 22:46:16.891  1610  4266 I ActivityTaskManager: START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.android.todolist/.MainActivity bnds=[77,1066][245,1234] (has extras)} from uid 10060
08-23 22:46:16.921  1610  4266 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 13624
08-23 22:46:17.088  1610  4266 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:46:17.296  1610  1733 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{9d8772a u0 com.android.todolist/.MainActivity t19237} time:285155245
08-23 22:46:29.720  1610  4203 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:46:30.931  1610  4286 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.Info} from uid 10010
08-23 22:46:30.951  1610  4286 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:46:30.959  1610  4286 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 13624
08-23 22:46:31.103  1610  4203 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:46:31.654  1610  1733 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{1252d19 u0 com.android.todolist/.Info t19237} time:285169603
08-23 22:46:32.862  1610  4203 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:46:33.370  1610  1733 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{9d8772a u0 com.android.todolist/.MainActivity t19237} time:285171319
08-23 22:46:34.136  1610  4286 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:46:34.865  1610  4266 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.About} from uid 10010
08-23 22:46:34.886  1610  4266 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:46:34.894  1610  4266 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 13624
08-23 22:46:35.036  1610  4286 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:46:35.597  1610  1733 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{7098016 u0 com.android.todolist/.About t19237} time:285173546
08-23 22:46:36.741  1610  1662 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:46:37.272  1610  1733 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{9d8772a u0 com.android.todolist/.MainActivity t19237} time:285175221
08-23 22:46:37.705  1610  4266 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.ListActivity (has extras)} from uid 10010
08-23 22:46:37.728  1610  4266 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 13624
08-23 22:46:37.864  1610  1662 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:46:38.407  1610  1733 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{c9c6250 u0 com.android.todolist/.ListActivity t19237} time:285176356
08-23 22:46:39.743  1610  1662 W NotificationService: Toast already killed. pkg=com.android.todolist callback=android.app.ITransientNotification$Stub$Proxy@3289fba
08-23 22:46:42.526  1610  1662 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:46:43.925  1610  1662 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:46:45.025  1610  4266 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:46:46.617  1610  4266 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:46:47.775  1610  4266 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:46:48.581  1610  4266 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:46:48.651  1610  4266 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:46:52.697  1610  2696 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:46:53.750  1610  1662 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:46:54.709  1610  1662 W NotificationService: Toast already killed. pkg=com.android.todolist callback=android.app.ITransientNotification$Stub$Proxy@2f2acb1
08-23 22:46:54.726  1610  4266 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:46:55.353  1610  1662 I ActivityTaskManager: START u0 {cmp=com.android.todolist/.MainActivity} from uid 10010
08-23 22:46:55.378  1610  2696 I ActivityTaskManager: The Process com.android.todolist Already Exists in BG. So sending its PID: 13624
08-23 22:46:55.462  1610  2696 I MiuiKnockGestureService: focus window:com.android.todolist
08-23 22:46:56.025  1610  1733 I Timeline: Timeline: Activity_windows_visible id: ActivityRecord{5d73d04 u0 com.android.todolist/.MainActivity t19237} time:285193974
08-23 22:46:56.840  1610  2696 I MiuiKnockGestureService: focus window:com.android.todolist
